CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Combined_Score,RFM_Score_Label,Customer_Segment,Cluster,churn_prediction,churn_probability
12346,165,10,327.86,2,5,3,10,2-5-3,Occasional Browsers,0,0,0.3034
12347,3,2,1058.57,5,2,4,11,5-2-4,Promising Newcomers,0,0,0.0059
12348,74,1,222.16,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9605
12349,43,2,1330.29,3,2,5,10,3-2-5,Fading Customers,0,0,0.3056
12351,11,1,288.18,5,1,2,8,5-1-2,Promising Newcomers,1,0,0.011
12352,11,2,331.05,5,2,3,10,5-2-3,Promising Newcomers,1,0,0.0209
12353,44,1,278.16,3,1,2,6,3-1-2,Occasional Browsers,1,0,0.0459
12355,203,1,318.31,1,1,3,5,1-1-3,Occasional Browsers,1,1,0.8387
12356,16,3,622.17,4,3,4,11,4-3-4,Loyal Mid-Tier,0,0,0.0053
12357,24,1,1576.28,4,1,5,10,4-1-5,Promising Newcomers,1,0,0.013
12358,11,3,465.76,5,3,3,11,5-3-3,Loyal Mid-Tier,0,0,0.0022
12359,61,6,1661.06,3,5,5,13,3-5-5,Loyal Mid-Tier,0,0,0.0021
12360,28,3,1179.19,4,3,4,11,4-3-4,Loyal Mid-Tier,0,0,0.004
12361,98,3,276.35,2,3,2,7,2-3-2,Fading Customers,1,1,0.7689
12368,264,1,127.8,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9535
12369,49,3,1239.33,3,3,5,11,3-3-5,Loyal Mid-Tier,0,0,0.0062
12370,260,3,474.92,1,3,3,7,1-3-3,Occasional Browsers,1,1,0.9346
12371,45,3,1578.07,3,3,5,11,3-3-5,Loyal Mid-Tier,0,0,0.0067
12373,260,2,456.05,1,2,3,6,1-2-3,Occasional Browsers,1,1,0.9071
12374,57,2,398.7,3,2,3,8,3-2-3,Fading Customers,1,0,0.4494
12376,53,1,112.55,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.0423
12377,17,2,1262.92,4,2,5,11,4-2-5,Promising Newcomers,0,0,0.0091
12378,198,1,997.37,1,1,4,6,1-1-4,Dormant Spenders,1,1,0.8982
12379,58,2,595.98,3,2,4,9,3-2-4,Fading Customers,1,1,0.6865
12380,101,4,2347.07,2,4,5,11,2-4-5,Dormant Spenders,0,1,0.7942
12385,15,1,921.7,5,1,4,10,5-1-4,Promising Newcomers,1,0,0.025
12386,2,1,144.3,5,1,1,7,5-1-1,Promising Newcomers,1,0,0.0078
12387,51,1,110.04,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.0616
12388,81,2,632.7,2,2,4,8,2-2-4,Fading Customers,1,1,0.5706
12389,38,3,625.93,3,3,4,10,3-3-4,Loyal Mid-Tier,0,0,0.0056
12391,100,4,1446.28,2,4,5,11,2-4-5,Dormant Spenders,0,1,0.8107
12392,227,1,55.35,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9689
12393,18,2,684.2,4,2,4,10,4-2-4,Promising Newcomers,0,0,0.008
12395,7,4,1405.14,5,4,5,14,5-4-5,High-Value Regulars,0,0,0.0063
12396,310,1,883.58,1,1,4,6,1-1-4,Dormant Spenders,1,1,0.9277
12399,21,3,564.69,4,3,3,10,4-3-3,Loyal Mid-Tier,0,0,0.0039
12400,50,1,205.25,3,1,2,6,3-1-2,Occasional Browsers,1,0,0.0442
12402,28,5,928.55,4,4,4,12,4-4-4,High-Value Regulars,0,0,0.0031
12406,35,3,609.92,4,3,4,11,4-3-4,Loyal Mid-Tier,0,0,0.0021
12408,21,3,724.64,4,3,4,11,4-3-4,Loyal Mid-Tier,0,0,0.0055
12409,56,2,439.5,3,2,3,8,3-2-3,Fading Customers,1,1,0.5985
12410,138,1,183.78,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9458
12411,45,1,255.4,3,1,2,6,3-1-2,Occasional Browsers,1,0,0.0535
12412,38,3,624.29,3,3,4,10,3-3-4,Loyal Mid-Tier,0,0,0.0065
12413,38,1,106.95,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.0753
12414,99,1,74.88,2,1,1,4,2-1-1,Disengaged Low-Value,1,1,0.9773
12415,56,3,1177.49,3,3,4,10,3-3-4,Loyal Mid-Tier,0,0,0.006
12416,292,1,202.56,1,1,2,4,1-1-2,Disengaged Low-Value,1,1,0.9459
12417,46,11,1783.54,3,5,5,13,3-5-5,Loyal Mid-Tier,0,0,0.0018
12418,49,3,749.25,3,3,4,10,3-3-4,Loyal Mid-Tier,0,0,0.0041
12419,21,2,274.31,4,2,2,8,4-2-2,Promising Newcomers,1,0,0.0157
12421,51,2,202.71,3,2,2,7,3-2-2,Fading Customers,1,1,0.6298
12422,30,9,1749.34,4,5,5,14,4-5-5,High-Value Regulars,0,0,0.002
12423,23,2,604.08,4,2,4,10,4-2-4,Promising Newcomers,1,0,0.0249
12424,58,2,946.33,3,2,4,9,3-2-4,Fading Customers,1,0,0.4578
12425,84,1,815.29,2,1,4,7,2-1-4,Dormant Spenders,1,1,0.7888
12426,298,1,658.68,1,1,4,6,1-1-4,Dormant Spenders,1,1,0.9276
12427,7,1,120.3,5,1,1,7,5-1-1,Promising Newcomers,1,0,0.0083
12429,1,5,813.13,5,4,4,13,5-4-4,High-Value Regulars,0,0,0.0043
12431,9,9,2335.81,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0018
12433,2,5,3480.13,5,4,5,14,5-4-5,High-Value Regulars,0,0,0.0092
12434,17,1,239.64,4,1,2,7,4-1-2,Promising Newcomers,1,0,0.0104
12435,32,3,322.18,4,3,3,10,4-3-3,Loyal Mid-Tier,1,0,0.0683
12437,31,19,4959.46,4,5,5,14,4-5-5,High-Value Regulars,0,0,0.0021
12439,318,2,1048.28,1,2,4,7,1-2-4,Dormant Spenders,1,1,0.9702
12440,98,2,395.35,2,2,3,7,2-2-3,Fading Customers,1,1,0.5677
12441,2,1,155.55,5,1,1,7,5-1-1,Promising Newcomers,1,0,0.01
12443,368,1,192.63,1,1,2,4,1-1-2,Disengaged Low-Value,1,1,0.9713
12445,56,1,301.58,3,1,2,6,3-1-2,Occasional Browsers,1,0,0.0575
12450,35,3,447.82,4,3,3,10,4-3-3,Loyal Mid-Tier,1,0,0.0909
12451,99,3,2169.99,2,3,5,10,2-3-5,Fading Customers,0,1,0.798
12455,81,4,1928.59,2,4,5,11,2-4-5,Dormant Spenders,0,0,0.2182
12457,71,1,257.0,3,1,2,6,3-1-2,Occasional Browsers,1,0,0.0471
12458,63,2,669.34,3,2,4,9,3-2-4,Fading Customers,1,1,0.5713
12459,241,1,343.35,1,1,3,5,1-1-3,Occasional Browsers,1,1,0.8271
12460,92,1,236.95,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9624
