CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Combined_Score,RFM_Score_Label,Customer_Segment
12346,165,10,327.86,2,5,3,10,2-5-3,Occasional Browsers
12347,3,2,1058.57,5,2,4,11,5-2-4,Promising Newcomers
12348,74,1,222.16,2,1,2,5,2-1-2,Disengaged Low-Value
12349,43,2,1330.29,3,2,5,10,3-2-5,Fading Customers
12351,11,1,288.18,5,1,2,8,5-1-2,Promising Newcomers
12352,11,2,331.05,5,2,3,10,5-2-3,Promising Newcomers
12353,44,1,278.16,3,1,2,6,3-1-2,Occasional Browsers
12355,203,1,318.31,1,1,3,5,1-1-3,Occasional Browsers
12356,16,3,622.17,4,3,4,11,4-3-4,Loyal Mid-Tier
12357,24,1,1576.28,4,1,5,10,4-1-5,Promising Newcomers
12358,11,3,465.76,5,3,3,11,5-3-3,Loyal Mid-Tier
12359,61,6,1661.06,3,5,5,13,3-5-5,Loyal Mid-Tier
12360,28,3,1179.19,4,3,4,11,4-3-4,Loyal Mid-Tier
12361,98,3,276.35,2,3,2,7,2-3-2,Fading Customers
12368,264,1,127.8,1,1,1,3,1-1-1,Disengaged Low-Value
12369,49,3,1239.33,3,3,5,11,3-3-5,Loyal Mid-Tier
12370,260,3,474.92,1,3,3,7,1-3-3,Occasional Browsers
12371,45,3,1578.07,3,3,5,11,3-3-5,Loyal Mid-Tier
12373,260,2,456.05,1,2,3,6,1-2-3,Occasional Browsers
12374,57,2,398.7,3,2,3,8,3-2-3,Fading Customers
12376,53,1,112.55,3,1,1,5,3-1-1,Occasional Browsers
12377,17,2,1262.92,4,2,5,11,4-2-5,Promising Newcomers
12378,198,1,997.37,1,1,4,6,1-1-4,Dormant Spenders
12379,58,2,595.98,3,2,4,9,3-2-4,Fading Customers
12380,101,4,2347.07,2,4,5,11,2-4-5,Dormant Spenders
12385,15,1,921.7,5,1,4,10,5-1-4,Promising Newcomers
12386,2,1,144.3,5,1,1,7,5-1-1,Promising Newcomers
12387,51,1,110.04,3,1,1,5,3-1-1,Occasional Browsers
12388,81,2,632.7,2,2,4,8,2-2-4,Fading Customers
12389,38,3,625.93,3,3,4,10,3-3-4,Loyal Mid-Tier
12391,100,4,1446.28,2,4,5,11,2-4-5,Dormant Spenders
12392,227,1,55.35,1,1,1,3,1-1-1,Disengaged Low-Value
12393,18,2,684.2,4,2,4,10,4-2-4,Promising Newcomers
12395,7,4,1405.14,5,4,5,14,5-4-5,High-Value Regulars
12396,310,1,883.58,1,1,4,6,1-1-4,Dormant Spenders
